Ulasan,stemming,Learnability,Efficiency,Errors,Satisfaction
Yah harus top up.. Min 100 syg duitnya mending beli beras aja wkwkwkwkkw🤣,"['top', 'up', 'sayang', 'duit', 'mending', 'beli', 'beras', 'wkwkwkwkkw']",0,0,0,-1
Kota Bandung ga bisa order lewat mobile app ??,"['kota', 'bandung', 'order', 'mobile', 'app']",0,0,-1,0
"Tempat nyaman,suasana nyaman ,barista ok ..ok byk promo .","['nyamansuasana', 'nyaman', 'barista', 'promo']",0,0,0,0
Kenapa ketika ingin dikirim otp ada tulisan error' communication with server?,"['kirim', 'otp', 'tulis', 'error', 'communication', 'with', 'server']",0,0,-1,0
Kenapa tidak ditemukan store terdekat di jogja kalau pakai apps ini?,"['temu', 'store', 'dekat', 'jogja', 'pakai', 'apps']",0,0,-1,0
"Gbs login. Email g masuk"".","['enggak bisa', 'login', 'email']",0,0,-1,0
"Mau sign up tapi referal kode wajib hahaha, a5u banget gue yg gaktau mau ngisi referal kodenya siapa tapi harus diwajibkan mengisi referal kode wkwkw, kan a5u habisin kuota","['sign', 'up', 'referal', 'kode', 'wajib', 'hahaha', 'au', 'banget', 'gaktau', 'ngisi', 'referal', 'kode', 'wajib', 'isi', 'referal', 'kode', 'au', 'habisin', 'kuota']",0,0,-1,0
"Gak guna bikin akun , gk bisa2 padahal udh di isi semua , ngeselin lu","['akun', 'isi', 'kesal']",0,0,-1,-1
Hebat,['hebat'],0,0,0,1
"Tadinya gak bisa akhirnya dicoba-coba terus bisa, dan bisa beli Starbucks dengan harga 10k dan pelayanan nya pun barista nya tetep baik gak jutek 😂","['dicobacoba', 'beli', 'starbucks', 'harga', 'layan', 'barista', 'jutek']",0,0,-1,0
Gk bisa membantu may dftr sja rumit sekali,"['bantu', 'daftar', 'rumit']",-1,-1,0,0
"how could this happen? mau isi ulang kartu gabisa terus. udah ganti dari data - WiFi, install - reinstall tetep gabisa 😭","['how', 'could', 'this', 'happen', 'isi', 'ulang', 'kartu', 'enggak bisa', 'ganti', 'data', 'wifi', 'install', 'reinstall', 'enggak bisa']",0,0,-1,0
Bagus,['bagus'],0,0,0,1
Theese goods,"['theese', 'goods']",0,0,0,1
Aplikasi payah,"['aplikasi', 'payah']",0,0,0,-1
Susah berapa kali login juga daftar tetep tidak bisa berhasil berapa hari capek gw males ...,"['sulit', 'login', 'daftar', 'hasil', 'capek', 'malas']",0,0,-1,0
Good apk,['apk'],0,0,0,1
Good,[],0,0,0,1
Mau login selalu tidak valid padahal data semua sudah benar tolong dong di perbaiki,"['login', 'valid', 'data', 'tolong', 'baik']",0,0,-1,0
"Tampilannya kuno di 2022, dan agak bingung tampilan home nya banyak bgt tulisan yg gk impact ke saya","['tampil', 'kuno', 'bingung', 'tampil', 'home', 'banget', 'tulis', 'impact']",-1,0,0,0
"Isi saldo nominal kecil kaga ada,, payah banget ini harus yang besarr.. Mending bayar cash kalo ribet isi saldo kecil kaga bisa","['isi', 'saldo', 'nominal', 'payah', 'banget', 'besarr', 'mending', 'bayar', 'cash', 'ribet', 'isi', 'saldo']",0,0,-1,0
Mantap jiwa,"['mantap', 'jiwa']",0,0,0,1
"Sign up nya susah blok, gk ngarep minuman juga sih bye","['sign', 'up', 'sulit', 'blok', 'harap', 'minum', 'bye']",0,0,-1,0
"Kecewa sih lokasi saya di Surabaya mau order by apps nearby store nya di JKT, saya search manual storenya nggak muncul","['kecewa', 'lokasi', 'surabaya', 'order', 'apps', 'nearby', 'store', 'jakarta', 'search', 'manual', 'storenya', 'muncul']",0,0,-1,0
Mantap,['mantap'],0,0,0,1
Rewards ga bs di klik knp y,"['rewards', 'klik']",0,0,-1,0
Mau daftar tp gabisa bisa pdahal data nya udah lengkap😣,"['daftar', 'enggak bisa', 'data', 'lengkap']",0,0,-1,0
Udha download tapi nggk bisa dibuka,"['udha', 'download', 'buka']",0,0,-1,0
Ud install daftar reward nya malah g bisa dia pake. Harganya harga normal🐒,"['install', 'daftar', 'reward', 'pakai', 'harga', 'harga', 'normal']",0,0,-1,0
anda bikin pacar saya sedih,"['pacar', 'sedih']",0,0,0,0
Bagus,['bagus'],0,0,0,1
sangat tidak berguna karena mau sign in aja susah padahal data sudah benar semua. disuruh kirim email pun malah tidak ada balasan,"['guna', 'sign', 'sulit', 'data', 'suruh', 'kirim', 'email', 'balas']",0,0,-1,0
Solusinya kalo salah masukin email gmn??masuk lagi pake no yg sama udh gal bisa??,"['solusi', 'salah', 'masuk', 'email', 'gmnmasuk', 'pakai', 'gal']",0,0,-1,0
"Karyawan yg di daerah bintaro plaza judes2 bgt orng mau nukerin riwed ajh ga bisa , katanya lagi ga nerima riwed trs saya blng brti ga bisa ya, eh trs tmn yg satunya lagi blng es batunya abis jdi yg mna yg bnr aneh ,orng mau nukerin vocer ko bkn mau minta, glran yg di ceger strubcknya orng2nya pd ramah good job bgt beda sama yg di plaza","['karyawan', 'daerah', 'bintaro', 'plaza', 'judes', 'banget', 'nukerin', 'riwed', 'terima', 'riwed', 'brti', 'teman', 'satu', 'es', 'batu', 'habis', 'aneh', 'nukerin', 'vocer', 'glran', 'ceger', 'strubcknya', 'orngnya', 'ramah', 'job', 'banget', 'beda', 'plaza']",0,0,0,0
"Lhaa malah salah password pas mau masuk,,pdhal kan sdh dftr tdi..begooo data guaa ktahuan daah","['lhaa', 'salah', 'password', 'pas', 'masukpdhal', 'daftar', 'tdibegoo', 'data', 'gua', 'ktahuan']",0,0,-1,0
Apa2an kata nya ada promo pake aplikasi giliran udah ke store nya karyawan nya jutek2 dan kata nya ga bisa pake reward mengecewakan Karyawan di bintaro plaza ga tau deh kalo di store lain seperti apa tolong donk pelayanan nya jangan seperti itu,"['promo', 'pakai', 'aplikasi', 'gilir', 'store', 'karyawan', 'jutek', 'pakai', 'reward', 'kecewa', 'karyawan', 'bintaro', 'plaza', 'store', 'tolong', 'layan']",0,0,0,0
"sudah join, tapi pas login invalid user/pass, dan ketika mau join ulang nomer sudah terdaftar, payah nih keknya cuma mau ngambil data kita doang, dipake login kaga bisa","['join', 'pas', 'login', 'invalid', 'userpass', 'join', 'ulang', 'nomer', 'daftar', 'payah', 'kayak', 'ngambil', 'data', 'doang', 'pakai', 'login']",0,0,-1,-1
"Gk bisa login gagal trs, nama gede hrga menunya mahal. Kok buat aplikasi kyk gini gk bisa apa IT nya disini sampah ya?","['login', 'gagal', 'nama', 'hrga', 'menu', 'mahal', 'aplikasi', 'sampah']",0,0,-1,-1
Aku harap kalau daftarin temen pakai kode referal free 1 beverage or 1 food,"['harap', 'daftarin', 'teman', 'pakai', 'kode', 'referal', 'beverage', 'food']",0,0,0,0
"Hi min, ku bingung gmn ya ini forgot password tapi ko gak masuk ya emailnya?","['hi', 'ku', 'bingung', 'forgot', 'password', 'email']",0,0,-1,0
Mantap 👍👍👍,['mantap'],0,0,0,1
Baik,[],0,0,0,1
Gak bisa login padahal udah daftar,"['login', 'daftar']",0,0,-1,0
Jualan kopi aja gausah pake aplikasi gini. Ga jelas banget aplikasinya. Error ancur mulu,"['jual', 'kopi', 'enggak usah', 'pakai', 'aplikasi', 'banget', 'aplikasi', 'error', 'hancur', 'mulu']",0,0,-1,0
Tidak bisa klik sign in. Padahal email dan password sudah benar.,"['klik', 'sign', 'email', 'password']",0,0,-1,0
"Sudah top up tapi belum masuk saldonya dari tadi siang,statusnya pending terus...","['top', 'up', 'saldo', 'siangstatusnya', 'pending']",0,0,-1,0
Top up BRI jdi g ada,"['top', 'up', 'bri']",0,0,-1,0
Lemot bangettt sumpah,"['lot', 'banget', 'sumpah']",0,-1,-1,0
Baru kali ini nu aplikasi yang lelet banget.,"['nu', 'aplikasi', 'lelet', 'banget']",0,-1,-1,0
"Semua udah oke, tapi ketika mau sign up selalu gagal alasannya otp invalid.padahal otp sudah ceklis hijau,ini gimana yah minta bantuannya biar mudah signup","['sign', 'up', 'gagal', 'alas', 'otp', 'invalidpadahal', 'otp', 'ceklis', 'hijauini', 'bantu', 'mudah', 'signup']",0,0,-1,0
Ngebug ya ? Mau login aja loading padahal mau bayar,"['ngebug', 'login', 'loading', 'bayar']",0,-1,-1,0
Semakin banyak lagi diskon,['diskon'],0,0,1,0
Susah sekali msuk applikasix lm loadingx,"['sulit', 'applikasix', 'lm', 'loadingx']",-1,-1,0,0
Log in kode otp bner tp invalid terusss sudah coba beberapa kali hampir 2 jam Okelah uninstal aja,"['log', 'kode', 'otp', 'invalid', 'coba', 'jam', 'oke', 'uninstal']",0,0,-1,0
"KAK INI YG BNER AJA MAU DELIVERY WILAYAH BANDUNG MASA GA ADA OUTLET NYA , DI SEARCH JUGA GA MUNCUL","['delivery', 'wilayah', 'bandung', 'outlet', 'search', 'muncul']",0,0,-1,0
Yang mau pake referal code nih. Biar dapet potongan harga. Lumayan kan. ZULFITRIF-EF8B5C,"['pakai', 'referal', 'code', 'potong', 'harga', 'lumayan', 'zulfitrifefbc']",0,0,0,0
Tidak bisa register,['register'],0,0,-1,0
Gbisa d instal.,"['gbisa', 'instal']",0,0,-1,0
"MAP NYA NGEBUG , TOLONG DI BENERIN TOD","['map', 'ngebug', 'tolong', 'benerin', 'tod']",0,0,-1,0
ACl GameSopt,"['acl', 'gamesopt']",0,0,0,0
"Haloo starbucks, kenapa ya kadang setelah topup, dana ga lgsg masuk kdang pending sampai 1 jam an","['haloo', 'starbucks', 'kadang', 'topup', 'dana', 'kadang', 'pending', 'jam']",0,-1,0,0
Sign up aja harus pakai kode refferal. Jika tidak punya ga bsa dilanjutjan. Apa apaan aplikasi begini. Ga mutuu,"['sign', 'up', 'pakai', 'kode', 'refferal', 'dilanjutjan', 'aplikasi', 'mutuu']",0,0,-1,-1
"Sya udh download apk starbucks, udh isi data, dibagian paling bawah diminta kode referral. Sya gak punya kode referral, jd gmn donk???? Huhuhuhu...","['download', 'apk', 'starbucks', 'isi', 'data', 'bagi', 'kode', 'referral', 'kode', 'referral', 'huhuhuhu']",-1,0,0,0
Mau nanya kenapa sekarang gabisa top up di BRI ya?,"['enggak bisa', 'top', 'up', 'bri']",0,0,-1,0
Daftar tapi ga bisa login. Lucu sekali. Dianggap id & password salah,"['daftar', 'login', 'lucu', 'anggap', 'id', 'password', 'salah']",0,0,-1,0
Baru Mau joint send OTP ke no HP kok gak adayang masuk? Sudah coba berapakali tetap gak masuk otp nya Setelah email ke CS langsung direspon dan sudah bisa,"['joint', 'send', 'otp', 'handphone', 'adayang', 'coba', 'berapakali', 'otp', 'email', 'cs', 'direspon']",0,0,0,1
Kenapa mau daftar aja selalu gagal ? Padahal semua udah lengkap di isi,"['daftar', 'gagal', 'lengkap', 'isi']",0,0,-1,0
Kenapa ga bisa truss registrasinya ya???,"['truss', 'registrasi']",0,0,-1,0
"The best👍 Dimanapun, kapanpun reward bisa dipakai. Outlet baru maupun lama tidak ada kendala sistem. Dan yg terpenting, sudah menjelajah di berbagai kota, tp jgn lupa performa barista tetap dijaga ya.","['best', 'mana', 'reward', 'pakai', 'outlet', 'kendala', 'sistem', 'penting', 'jelajah', 'kota', 'lupa', 'performa', 'barista', 'jaga']",0,0,1,1
Mau login ko susah amat ya,"['login', 'sulit']",0,0,-1,0
Gagal otp terus menerus,"['gagal', 'otp', 'terus']",0,0,-1,0
Payah nyoba sign up aja ga bsa bisa otp g kekirim .aplikasi payah ..hadeuh,"['payah', 'coba', 'sign', 'up', 'otp', 'kirim', 'aplikasi', 'payah', 'aduh']",0,0,-1,0
"Maps nearby error, saya di samarinda. Yg nearby malah jakarta semua","['maps', 'nearby', 'error', 'samarinda', 'nearby', 'jakarta']",0,0,-1,0
"Heran, sekelas Starbucks tp aplikasinya bug. Otp verify ga masuk2. Ga bisa sign up.","['heran', 'kelas', 'starbucks', 'aplikasi', 'bug', 'otp', 'verify', 'sign', 'up']",0,0,-1,0
Haduh ini kok lemot banget mau top up aja yaa. Mohon diperbaiki yaaa. Masa iya customer mau bayar aja susah.,"['aduh', 'lot', 'banget', 'top', 'up', 'baik', 'customer', 'bayar', 'sulit']",0,-1,-1,0
kok gabisa login ya..muter² terus..pas coba hapus data login lagi malah g bisa..padahal email sm pass ny uda bener...ini gmn coba,"['enggak bisa', 'login', 'yamuter', 'teruspas', 'coba', 'hapus', 'data', 'login', 'bisapadahal', 'email', 'pas', 'benerini', 'coba']",0,0,-1,0
It's great app,"['its', 'great', 'app']",0,0,0,1
"Nice, moga berkembang trs. 👍👍👍","['nice', 'kembang']",0,0,0,1
Mau registrasi dan sign up ga bisa2 kenapa ya? Udah masukin kode otp berkali2 tapi invalid terus!? Belum siap app nya ya? Harus nya mudah klo ga bisa registrasi gimana min? Kartinya tetep bisa dipakai ga nih ada saldonya soalnya nih min??!!,"['registrasi', 'sign', 'up', 'masuk', 'kode', 'otp', 'kali', 'invalid', 'app', 'mudah', 'registrasi', 'karti', 'pakai', 'saldo']",0,0,-1,0
Mantap,['mantap'],0,0,0,1
OK,[],0,0,0,1
"Min cara belanja nya gimana ,saya di kalsel min","['belanja', 'kalsel']",-1,0,0,0
Sign up gabisa bisa,"['sign', 'up', 'enggak bisa']",0,0,-1,0
"Apk ga jelas, kode otp udah bener di kata salah, di ulang lagi nomor telar terdaftar. Ketika mau login. Malah tidak terdaftar","['apk', 'kode', 'otp', 'salah', 'ulang', 'nomor', 'tar', 'daftar', 'login', 'daftar']",0,0,-1,0
kenapa aplikasi sering berhenti sendiri tolong cepat perbaiki agar saya bisa tambah bintang nya⭐⭐⭐⭐⭐,"['aplikasi', 'henti', 'tolong', 'cepat', 'baik', 'bintang']",0,0,-1,0
"Login susah amat. Pas udah berhasil, tiap mau order lokasinya di Jakarta terus, Searching lokasi Surabaya ga ada, hadeeh mana masih ada saldonya. Mau dipake aplikasinya gajelas. Kalau belum siap, mending gausah aplikasi aplikasinya, nama udah gede harga mahal kok kayak gini.","['login', 'sulit', 'pas', 'hasil', 'order', 'lokasi', 'jakarta', 'searching', 'lokasi', 'surabaya', 'hadeeh', 'saldo', 'pakai', 'aplikasi', 'enggak jelas', 'mending', 'enggak usah', 'aplikasi', 'aplikasi', 'nama', 'harga', 'mahal']",0,0,-1,0
Untuk dapetin code refferal nya gimana ya ? Susah banget mau join,"['dapat', 'code', 'refferal', 'sulit', 'banget', 'join']",-1,0,0,0
Kenapa setiap mau sign in sudah request code lewat email tapi belum masuk juga emailnya. Sudah cob sampek 5x tetep gak ada email masuk.,"['sign', 'request', 'code', 'email', 'email', 'cob', 'email']",0,0,-1,0
"Saya Gak bisa sign up , sms otpnya selalu berhasil masuk pas masuk sign up gak berhasil .","['sign', 'up', 'sms', 'otpnya', 'hasil', 'pas', 'sign', 'up', 'hasil']",0,0,-1,0
Nice service n ramah,"['nice', 'service', 'ramah']",0,0,0,0
Kereenn tingkatkan promo nya,"['keren', 'tingkat', 'promo']",0,0,1,1
"Udah nyoba login berkali2 gabisa malah ke blokir pdhl email dan pass nya bener tpi selalu bilang pw/email salah, chat ke ig sbux ga di respond. Tolong dong tingkatin lagi performa apk nya","['coba', 'login', 'kali', 'enggak bisa', 'blokir', 'email', 'pas', 'pwemail', 'salah', 'chat', 'instagram', 'sbux', 'respond', 'tolong', 'tingkatin', 'performa', 'apk']",0,0,-1,0
"Bagus, top up nya juga mudah 👍","['bagus', 'top', 'up', 'mudah']",1,0,0,1
Transaksi lancar n ga ada kendala. Thanks starbucks. 👍🏻,"['transaksi', 'lancar', 'kendala', 'thanks', 'starbucks']",1,0,0,1
"Ga bisa sign up, padahal otp bener. Hmmmz..","['sign', 'up', 'otp', 'hmmz']",0,0,-1,0
"Ini saya tidak bisa masuk ke app starbucks, mau claim vocher!!!! Tolong di perbaiki dong","['app', 'starbucks', 'claim', 'vocher', 'tolong', 'baik']",0,0,-1,0
"Ini aplikasi aneh,sy mau join gak bisa,sdh 10x dicoba tp tetap gak bisa.Mungkin Starbuck ini tdk butuh costumer ya.Kalo say sih gak mslh gak punya akun starbuck,sekedar ingin tau saja sih.Sy punya aplikasi kopi kekinian yg lagi naik daun.","['aplikasi', 'anehsy', 'join', 'bisasdh', 'coba', 'bisamungkin', 'starbuck', 'butuh', 'costumer', 'yakalo', 'sayang', 'akun', 'starbucksekedar', 'sihsy', 'aplikasi', 'kopi', 'kini', 'daun']",0,0,-1,0
Good applikasi,['aplikasi'],0,0,0,1
G bisa daftar udah coba berkali kali,"['daftar', 'coba', 'kali']",0,0,-1,0
"Pengen regis gk bs min,gimana dong","['pengin', 'regis', 'mingimana']",0,0,-1,0
"Aplikasi starbucks saya kenapa gak bisa di buka ya? Udah log in bbrp kali, tapi selalu gak bisa. Pdhl udah masukin email n Password yg bener. Kalo mau buka aplikasi nya loading lama banget. Pdhl udh pake wifi dan data seluler. Tolong ini gimana ya kebijakannya? Saya termasuk seneng belanja di starbucks, cuma karna aplikasi nya ini susah di buka, jd saya agak sebel. Tolong perbaikan atau saran nya.","['aplikasi', 'starbucks', 'buka', 'log', 'masuk', 'email', 'password', 'buka', 'aplikasi', 'loading', 'banget', 'pakai', 'wifi', 'data', 'seluler', 'tolong', 'bijak', 'senang', 'belanja', 'starbucks', 'aplikasi', 'sulit', 'buka', 'sebel', 'tolong', 'baik', 'saran']",-1,-1,-1,-1
Kok mau sign up mau masukin alamat email g BS y,"['sign', 'up', 'masuk', 'alamat', 'email']",0,0,-1,0
Kenapa engga engga bisa login kak..tolong dong,"['login', 'kaktolong']",0,0,-1,0
"Referrar code, ini code dari mana? Tanya ke pihak karyawan starbuck juga gak tau!","['referrar', 'code', 'code', 'karyawan', 'starbuck']",-1,0,0,0
Kecewa banget udah ngundang temen pake referal saya tp sampai skrg ga masuk2 reward 50% nya. Dan saya jg hari ini sudah top up yg 300rb di starbucks store benhil tp 30 Star nya ga muncul2,"['kecewa', 'banget', 'ngundang', 'teman', 'pakai', 'referal', 'reward', 'top', 'up', 'ribu', 'starbucks', 'store', 'benhil', 'star', 'muncul']",0,0,-1,-1
"Pertahankan peformanya, login dh mulai bener","['tahan', 'forma', 'login']",0,0,1,1
great apps!,"['great', 'apps']",0,0,0,1
Belum coba pesan wk,"['coba', 'pesan']",0,0,0,0
Deposit tidak bisa di belanjakan di luar Starbucks,"['deposit', 'belanja', 'starbucks']",0,0,-1,0
"Aplikasinya membantu bangettt, tapi semenjak Update kok jadi agak lemot ya?","['aplikasi', 'bantu', 'banget', 'semenjak', 'lot']",0,1,1,1
Aplikasi apaan sih...aku udh bolak balik ngirim kode verikasi email knapa gk bisa gituu lhoo..,"['aplikasi', 'sihaku', 'bolak', 'kirim', 'kode', 'verikasi', 'email', 'knapa', 'kamuh']",0,0,-1,0
Gak bisa login,['login'],0,0,-1,0
"Gagal Login padahal udah bener email & password login nya, aplikasi ccd!!!","['gagal', 'login', 'email', 'password', 'login', 'aplikasi', 'ccd']",0,0,-1,0
Sy dah ubah password dan update. Smp skrg ga bs masuk2 alasannya salah password. Sy minta untuk reset pass word malah ga ada notif. Bagaimana ini?,"['ubah', 'password', 'alas', 'salah', 'password', 'reset', 'pas', 'word', 'notif']",0,0,-1,0
"Pertama nya iya ngebug, ada masalah saat login, loading terus. Tapi karena respon nya cepat & segera diperbaiki bug nya beberapa saat kemudian, ya salut lah, bertanggung jawab dan nggak lari dari masalah, ada tanggapan. Semoga semakin baik lagi untuk aplikasinya. Pekerjanya beneran kerja sih bagus","['ngebug', 'login', 'loading', 'respon', 'cepat', 'baik', 'bug', 'salut', 'tanggung', 'lari', 'tanggap', 'moga', 'aplikasi', 'kerja', 'benar', 'bagus']",0,0,1,0
"Mau login gak bisa padahal username dan password sudah benar, malahan akun saya diblokir. Sudah komplain ke customer service nya tapi pelayanan nya lambat sekali sampai sekarang belum ada solusi. Kecewa aja sih brand sekelas Starbucks aplikasi nya bobrok seperti ini","['login', 'username', 'password', 'akun', 'blokir', 'komplain', 'customer', 'service', 'layan', 'lambat', 'solusi', 'kecewa', 'brand', 'kelas', 'starbucks', 'aplikasi', 'bobrok']",0,0,-1,-1
Mantap,['mantap'],0,0,0,1
Hargabya dong pake harga mahasiswa,"['hargabya', 'pakai', 'harga', 'mahasiswa']",0,0,0,0
Percuma buat app. Tdk bs join. Ngak jelas,"['app', 'join']",0,0,-1,0
App agak lama kerjanya ga bisa sat set :(,"['app', 'kerja', 'sat', 'set']",0,-1,0,0
Mantepss thanks,"['mantepss', 'thanks']",0,0,0,1
Keren.,['keren'],0,0,0,1
Good,[],0,0,0,1
Good,[],0,0,0,1
"Aplikasinya benar² nggak jelas, saya sudah masukkan password email saya tapi, nggak bisa. Ini disuruh buat password nggak sih atau pakai password yang asli gitu. Tolong anda jelaskan.","['aplikasi', 'masuk', 'password', 'email', 'suruh', 'password', 'pakai', 'password', 'asli', 'tolong']",0,0,-1,0
Aplikasi kaga ada jelas2 nya.....log in sampe diulang kaga pernah bisa sign up.....gw nya yg ga bisa apa aplikasi nya emang kaga jelas......,"['aplikasi', 'nyalog', 'ulang', 'sign', 'upgw', 'aplikasi']",0,0,-1,0
top,['top'],0,0,0,1
So far so good,"['sok', 'far', 'sok']",0,0,0,1
"Kopi terbaik, barista terbaik, staff terbaik 👍🏻","['kopi', 'baik', 'barista', 'baik', 'staff', 'baik']",0,0,0,0
ok,[],0,0,0,0
"Sejak update aplikasi nya, buat buka aja lemot nya ajubilah, sampe nenek-nenek jadi muda lagi baru bisa kebuka. Aplikasi dibuat biar mempermudah, bukan bikin orang jadi emosi gara-gara lelet banget 👎👎👎👎","['aplikasi', 'buka', 'lot', 'ajubilah', 'neneknenek', 'muda', 'buka', 'aplikasi', 'mudah', 'emosi', 'garagara', 'lelet', 'banget']",0,-1,-1,0
Nice,['nice'],0,0,0,1
"Nggak bisa sign in sama sekali. Padahal pas join in udah beres, tinggal sign in aja. Tapi cuman stuck disitu ga bisa masuk","['sign', 'pas', 'join', 'beres', 'tinggal', 'sign', 'cuman', 'stuck', 'situ']",0,0,-1,0
Memuaskan,['muas'],0,0,0,1
Good,[],0,0,0,1
KereN,['keren'],0,0,0,1
Good notion,['notion'],0,0,0,1
Nice app,"['nice', 'app']",0,0,0,1
Tks Sturback untuk aplikasi nya,"['tks', 'sturback', 'aplikasi']",0,0,0,1
Varian seperti frape java chip sm vanilla jika ada yg hangat lebih baik,"['varian', 'frape', 'java', 'chip', 'vanilla', 'hangat']",0,0,0,0
Love it,['love'],0,0,0,1
Favorit🥰,['favorit'],0,0,0,0
"Klian yg gada masalah jan lupa kasih bintang 5 okeii. Kesian jg bnyk bgt yg bintang 1 pdhl pasti banyak yg lancar2 aja tp ga ngasih bintang. Appnya bagus kok, aku dpt bnyk bgt voucher jd bisa sering2 beli deh wkwk. Tingkatkan trs ya starbucks!!!","['enggak ada', 'lupa', 'kasih', 'bintang', 'okeii', 'kesi', 'banget', 'bintang', 'lancar', 'asih', 'bintang', 'appnya', 'bagus', 'banget', 'voucher', 'beli', 'tingkat', 'starbucks']",0,0,1,0
Ok,[],0,0,0,1
Puas banget,"['puas', 'banget']",0,0,0,1
Mantap...banyak promo nya 👍👍,"['mantapbanyak', 'promo']",0,0,0,1
😁,[],0,0,0,1
Banyak promo......🤣👍,['promo'],0,0,0,1
Lumayan lah,['lumayan'],0,0,0,1
Good. Sometime takes time to open the aplication.,"['sometime', 'takes', 'time', 'open', 'aplication']",0,1,0,1
Sangat baik,[],0,0,0,1
👍👍👍,[],0,0,0,1
The best coffee and coffee shop in the world,"['best', 'coffee', 'coffee', 'shop']",0,0,0,0
"suka loading kalo pas susah signal aja macam di rest area, bandara gitu².. sejauh pakai app ini gampang sih buat transaksi di kasir","['suka', 'loading', 'pas', 'sulit', 'signal', 'rest', 'area', 'bandara', 'pakai', 'app', 'gampang', 'transaksi', 'kasir']",1,0,0,0
Good aplication,['aplication'],0,0,0,1
Gas,[],0,0,0,0
Userfriendly,['userfriendly'],1,0,0,1
"Minuman2 nya enak pake banget, favorit caramel machiato 🥰👍 , Tumbler nya lucu2 bgt 😍","['minum', 'pakai', 'banget', 'favorit', 'caramel', 'machiato', 'tumbler', 'lucu', 'banget']",0,0,0,0
"⭐️5 lah pokok nya, starbucks always in heart","['pokok', 'starbucks', 'heart']",0,0,0,1
Sangat nyaman n cepat... pokoknya sukses deh buat starbucks indonesia.... yang selalu memanjakan customer dgn beragam promo... 🙏🙏🙏,"['nyaman', 'cepat', 'pokok', 'sukses', 'starbucks', 'indonesia', 'manja', 'customer', 'agam', 'promo']",1,1,1,0
Suka cuman sayang menunya gak bisa dilihat diaplikasi lagi,"['suka', 'cuman', 'sayang', 'menu', 'aplikasi']",0,0,-1,1
ENAKKK BETUL MINUMAN NYA🤗🤗🤗🤗,"['enakk', 'minum']",0,0,0,0
"Sekarang loginnya susah, setelah password loading terus lama. Tolong dibenerin, terima kasih","['loginnya', 'sulit', 'password', 'loading', 'tolong', 'dibenerin', 'terima', 'kasih']",0,0,-1,0
"Gajelas banget, mau sign up aja lamanya sampe sejam sendiri, dibilang OTP code salah, padahal saat masukin OTP udh di confirm bener. Giliran udh bisa, mau sign in aja lama bgttttt, cape duluan","['enggak jelas', 'banget', 'sign', 'up', 'jam', 'bilang', 'otp', 'code', 'salah', 'masuk', 'otp', 'confirm', 'gilir', 'sign', 'banget', 'capek', 'duluan']",0,0,-1,0
The Best,['best'],0,0,0,1
aplikasi aneh tinggal di surabaya ditunjukin di jakarta mulu. kalo emang mobile ordernya khusus jakarta trus napa ngasih kupon diskon2 di seluruh outlet,"['aplikasi', 'aneh', 'tinggal', 'surabaya', 'ditunjukin', 'jakarta', 'mulu', 'mobile', 'order', 'jakarta', 'asih', 'kupon', 'diskon', 'outlet']",0,0,-1,0
Aplikasi bagus dan gampang digunakan.,"['aplikasi', 'bagus', 'gampang']",1,0,0,0
Cuma bisa mesen d area jakarta aja ya?????? Trus ngapaen store luar jakarta buat donlot???????????????,"['mesen', 'area', 'jakarta', 'ngapaen', 'store', 'jakarta', 'download']",0,0,-1,0
"Awal punya member card gak perlu download aplikasi ini, kenapa pas mau beli gunain member card download aplikasi ini dan sama sekali gak bisa login. Di email slow respon 🥺. Bye lah gak usah pakai member card. Bad banget ini aplikasi","['member', 'card', 'download', 'aplikasi', 'pas', 'beli', 'gunain', 'member', 'card', 'download', 'aplikasi', 'login', 'email', 'slow', 'respon', 'bye', 'pakai', 'member', 'card', 'bad', 'banget', 'aplikasi']",0,0,-1,0
G bisa login,['login'],0,0,-1,0
Sign tidak bisa Tidak ada email masuk,"['sign', 'email']",0,0,-1,0
"SEPERTI REVIEWER SEBELUMNYA, APLIKASI GBLK. Tinggal di Palembang tapi nunjukkin Jakarta, mau order tapi place tetep di Jakarta, GPS aktif, izin Location juga udah on, tetep aja di Jakarta. Gimana mau order, developer gak niat","['reviewer', 'aplikasi', 'gblk', 'tinggal', 'palembang', 'nunjukkin', 'jakarta', 'order', 'place', 'jakarta', 'gps', 'aktif', 'izin', 'location', 'jakarta', 'order', 'developer', 'niat']",0,0,-1,0
Aplikasi sering hang sekarang. Karyawan di grand indo kaku sekali...padahal lagi tum ler day. You suckssss Yach tetap saja saya bayar normal jadinya...promo nya kan jadi bohong namanya begitu bro...u sucks,"['aplikasi', 'hang', 'karyawan', 'grand', 'indonesia', 'kaku', 'sekalipadahal', 'tum', 'ler', 'day', 'suckss', 'bayar', 'normal', 'jadinyapromo', 'bohong', 'nama', 'brou', 'sucks']",0,0,-1,0
"Makasih, sudah bisa digunakan kembali",['terima kasih'],0,0,1,0
"belum stabil aplikasi nya, Gagal login mulu (dengan keterangan Internal Server Error)","['stabil', 'aplikasi', 'gagal', 'login', 'mulu', 'terang', 'internal', 'server', 'error']",0,0,-1,0
Gak bisa di download aplikasi nya,"['download', 'aplikasi']",0,0,-1,0
Tidak bisa di buka hari ini,['buka'],0,0,-1,0
